ObjectId,ResponseID,EndDate,Finished,Rate_your_satisfaction_with_thi,Satisfaction_Level,Program,Answered_Question__1_yes__0_no_,Percent_,Fiscal_Year,FY
169,R_1js4tHyGD9h4Liv,2017/06/14 19:40:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
170,R_1jTzylVrqvepnQU,2016/08/30 16:40:00,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
171,R_1jv0ayhVfBo1w6T,2017/06/13 11:26:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
172,R_1jwHF6WssocHU57,2017/06/15 08:42:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
173,R_1jx3jUq7ld1lT1B,2017/06/13 11:18:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
174,R_1jxMX8i07UtwgeE,2017/06/13 19:05:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
175,R_1k010yBvByX266z,2017/06/13 12:56:59,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
176,R_1K3cWv0qBSNH40s,2017/06/17 21:21:59,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
177,R_1K7libLQT49GsdB,2017/06/23 20:05:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
178,R_1K8Bf6awm7GHskj,2018/06/26 14:39:59,1,2,Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
179,R_1K8bTwyKN1krmHX,2016/08/30 17:51:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
180,R_1K8T4arknjN5SZa,2017/06/13 17:19:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
181,R_1Kdr2Dz7HoHVI3R,2017/06/14 22:20:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
182,R_1KdU6lPnrtLkpNO,2017/06/13 19:34:59,1,2,Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
183,R_1Ke6o0EnVNg3Hmm,2017/06/13 13:59:00,1,1,Very Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
